PurchaseID,Producto,Cantidad,PrecioUnitario,Total
1,Croissant de Almendras,3,3.5,10.5
2,Tarta de Frutas,1,18.0,18.0
3,Roll de Chocolate,3,2.5,7.5
3,Galleta de Almendra,4,1.2,4.8
3,Pan de Chocolate,11,2.0,22.0
3,Bretzel Dulce,9,2.0,18.0
3,Napolitana de Crema,6,2.5,15.0
3,Napolitana de Chocolate,8,2.5,20.0
3,Croissant de Chocolate,3,3.0,9.0
3,Muffin de Arándanos,9,2.5,22.5
4,Muffin de Chocolate,3,2.5,7.5
4,Macaron de Vainilla,1,1.5,1.5
4,Roll de Canela,6,2.5,15.0
4,Eclair de Chocolate,10,3.5,35.0
4,Rosquilla de Anís,6,1.0,6.0
4,Croissant de Almendras,8,3.5,28.0
4,Galleta de Mantequilla,4,1.0,4.0
5,Magdalena de Chocolate,6,1.2,7.2
6,Galleta de Mantequilla,9,1.0,9.0
6,Galleta de Chocolate,7,1.0,7.0
7,Roll de Chocolate,2,2.5,5.0
7,Galleta de Mantequilla,7,1.0,7.0
7,Brownie,6,3.0,18.0
7,Cheesecake de Fresa,4,22.0,88.0
7,Macaron de Vainilla,7,1.5,10.5
8,Muffin de Plátano,2,2.5,5.0
8,Mini Tarta de Frutas,9,5.0,45.0
8,Galleta de Mantequilla,12,1.0,12.0
8,Bretzel Dulce,3,2.0,6.0
8,Magdalena de Chocolate,9,1.2,10.8
8,Croissant de Almendras,2,3.5,7.0
8,Tarta de Café,4,16.0,64.0
9,Palmera de Chocolate,8,2.5,20.0
9,Galleta de Jengibre,4,1.5,6.0
9,Bombón de Chocolate,8,0.8,6.4
9,Macaron de Chocolate,11,1.5,16.5
9,Tarta de Café,12,16.0,192.0
9,Brownie,11,3.0,33.0
9,Macaron de Frambuesa,11,1.5,16.5
10,Profiterol,12,1.5,18.0
10,Muffin de Arándanos,8,2.5,20.0
10,Tarta Red Velvet,1,20.0,20.0
11,Roll de Canela,10,2.5,25.0
11,Tiramisú Individual,10,4.5,45.0
11,Palmera de Chocolate,10,2.5,25.0
11,Napolitana de Chocolate,10,2.5,25.0
11,Croissant de Chocolate,4,3.0,12.0
12,Macaron de Vainilla,8,1.5,12.0
12,Magdalena de Chocolate,1,1.2,1.2
13,Macaron de Vainilla,12,1.5,18.0
